"color","depth"
"E",61.5
"E",59.8
"E",56.9
"I",62.4
"J",63.3
"J",62.8
"I",62.3
"H",61.9
"E",65.1
"H",59.4
"J",64
"J",62.8
"F",60.4
"J",62.2
"E",60.2
"E",60.9
"I",62
"J",63.4
"J",63.8
"J",62.7
"I",63.3
"E",63.8
"H",61
"J",59.4
"J",58.1
"G",60.4
"I",62.5
"J",62.2
"D",60.5
"F",60.9
"F",60
"F",59.8
"E",60.7
"E",59.5
"D",61.9
"F",58.2
"E",64.1
"H",64
"D",60.8
"I",61.8
"I",61.2
"J",61.1
"D",65.2
"D",58.4
"H",63.1
"F",62.4
"H",61.8
"H",63.8
"E",63.3
"H",60.7
"F",60.9
"G",61.9
"I",60.9
"E",61.6
"D",59.3
"I",61
"J",59.3
"I",62.6
"I",63
"I",63.2
"I",60.9
"D",62.6
"D",62.5
"D",62.1
"I",61.5
"G",61.4
"I",62
"G",63.3
"G",61.8
"E",60.7
"D",61.5
"H",63.1
"H",62.9
"H",62.5
"H",63.7
"F",59.2
"E",59.9
"D",62.4
"D",62.8
"E",62.6
"E",63.4
"D",62.1
"E",62.9
"I",61.6
"E",57.9
"G",62.3
"H",61.2
"H",60.8
"H",60.7
"I",62.9
"E",62.5
"E",55.1
"G",61.6
"E",62.4
"G",63.8
"E",57.5
"F",59.4
"F",66.3
"E",61.6
"H",61.5
