values,condition,replicate
7.764685947,A,1
8.533439515,A,1
5.970846508,A,1
9.771157942,A,1
8.087816932,A,1
8.867614427,A,1
12.80988186,A,2
10.16745804,A,2
13.49998299,A,2
12.61951854,A,2
11.25432315,A,2
12.41123662,A,2
13.97464632,A,3
4.525516693,A,3
15.05564721,A,3
12.51662375,A,3
14.64056079,A,3
13.9325228,A,3
12.59116688,A,4
12.6762394,A,4
11.53693088,A,4
10.07494684,A,4
10.07679267,A,4
9.232952868,A,4
4.139732196,A,5
10.02135433,A,5
4.923879071,A,5
7.899436212,A,5
1.535616396,A,5
8.004993351,A,5
5.939288162,A,6
6.731504378,A,6
7.72540589,A,6
6.267581129,A,6
6.896105575,A,6
9.744960358,A,6
7.764685947,B,1
8.533439515,B,1
5.970846508,B,1
9.771157942,B,1
8.087816932,B,1
8.867614427,B,1
7.244208248,B,1
6.372567928,B,1
6.618881347,B,1
7.77063071,B,1
4.971451204,B,1
9.267083881,B,1
10.00657565,B,1
8.382480633,B,1
6.812109447,B,1
8.712887517,B,1
8.544018594,B,1
4.601187652,B,1
6.510183784,B,1
7.977664401,B,1
7.256035062,B,1
8.438850971,B,1
9.680815593,B,1
5.761207266,B,1
10.59203683,B,1
9.534767405,B,1
8.127142298,B,1
6.931738073,B,1
7.575969867,B,1
9.738492385,B,1
9.229712921,B,1
7.397016099,B,1
9.59854864,B,1
10.77450618,B,1
7.291959115,B,1
8.934334783,B,1
12.80988186,B,2
10.16745804,B,2
13.49998299,B,2
12.61951854,B,2
11.25432315,B,2
12.41123662,B,2
10.02081218,B,2
9.896784965,B,2
12.37029203,B,2
7.835444135,B,2
11.40624797,B,2
10.51200941,B,2
12.31019273,B,2
10.06600131,B,2
11.2165816,B,2
15.0663767,B,2
11.1496483,B,2
10.07063587,B,2
11.30436748,B,2
9.165575078,B,2
13.26672237,B,2
11.8324146,B,2
12.14776448,B,2
10.65794098,B,2
10.08459654,B,2
10.8646789,B,2
8.708174943,B,2
13.36478644,B,2
13.19276168,B,2
12.67332177,B,2
9.973410808,B,2
13.65781938,B,2
11.03150852,B,2
14.26162565,B,2
9.114380177,B,2
12.4387183,B,2
